com.samsung.shealth.tracker.floors_day_summary,6292001,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62900750,1012f85b-0f85-4591-a44f-78f86f61e9d8.binning_data.json,62920010,2025-02-21 10:34:35.809,2025-01-31 16:21:19.638,1,2,R0X8Tl1DGH,com.sec.android.app.shealth,1012f85b-0f85-4591-a44f-78f86f61e9d8,1738281600000,
62900750,9da6885e-d81e-4d98-8d15-1fca6343d1cf.binning_data.json,62920010,2025-02-21 10:34:35.628,2025-02-01 08:44:06.587,9,2,R0X8Tl1DGH,com.sec.android.app.shealth,9da6885e-d81e-4d98-8d15-1fca6343d1cf,1738368000000,
62900750,e3427332-0954-46fd-887a-188d2a90b026.binning_data.json,62920010,2025-02-21 10:34:35.694,2025-02-02 06:56:11.391,7,2,R0X8Tl1DGH,com.sec.android.app.shealth,e3427332-0954-46fd-887a-188d2a90b026,1738454400000,
62920010,4453ee8f-dea7-422d-8f94-43eba28b1602.binning_data.json,62920010,2025-02-21 10:34:35.779,2025-02-15 19:04:46.761,2,2,R0X8Tl1DGH,com.sec.android.app.shealth,4453ee8f-dea7-422d-8f94-43eba28b1602,1739577600000,
62920010,6baee191-cc36-4a57-96e9-71f44f407518.binning_data.json,62920010,2025-02-21 10:34:35.670,2025-02-16 12:56:33.794,12,2,R0X8Tl1DGH,com.sec.android.app.shealth,6baee191-cc36-4a57-96e9-71f44f407518,1739664000000,
62920010,0a4e663e-55d3-4ecd-8800-6863cfd721d9.binning_data.json,62920010,2025-02-21 10:34:35.719,2025-02-17 06:29:03.404,9,2,R0X8Tl1DGH,com.sec.android.app.shealth,0a4e663e-55d3-4ecd-8800-6863cfd721d9,1739750400000,
62920010,bbc0ff18-0b12-4089-a974-18926d3aed04.binning_data.json,62920010,2025-02-21 10:34:35.508,2025-02-18 07:10:10.372,5,2,R0X8Tl1DGH,com.sec.android.app.shealth,bbc0ff18-0b12-4089-a974-18926d3aed04,1739836800000,
62920010,2af177bd-1f41-4057-9e03-98de975c9f99.binning_data.json,62920010,2025-02-21 10:34:35.537,2025-02-19 08:43:14.057,10,2,R0X8Tl1DGH,com.sec.android.app.shealth,2af177bd-1f41-4057-9e03-98de975c9f99,1739923200000,
62920010,a20689bb-c3a7-4c60-880f-8474199ba82f.binning_data.json,62920010,2025-02-22 06:54:02.784,2025-02-20 06:52:19.699,8,2,R0X8Tl1DGH,com.sec.android.app.shealth,a20689bb-c3a7-4c60-880f-8474199ba82f,1740009600000,
62920010,31ecad5a-ec62-4fc3-b84e-9bf0bfffbbe8.binning_data.json,62920010,2025-02-23 06:57:51.396,2025-02-21 10:16:10.086,7,2,R0X8Tl1DGH,com.sec.android.app.shealth,31ecad5a-ec62-4fc3-b84e-9bf0bfffbbe8,1740096000000,
62920010,ce2f1b03-3dbf-4d5c-b3e0-c1c1693db2c5.binning_data.json,62920010,2025-02-23 06:57:51.355,2025-02-22 06:54:29.829,5,2,R0X8Tl1DGH,com.sec.android.app.shealth,ce2f1b03-3dbf-4d5c-b3e0-c1c1693db2c5,1740182400000,
62920010,6bc3a736-3c34-40fb-af1d-31c24fac43d5.binning_data.json,62920010,2025-02-23 17:22:06.367,2025-02-23 06:58:12.502,4,2,R0X8Tl1DGH,com.sec.android.app.shealth,6bc3a736-3c34-40fb-af1d-31c24fac43d5,1740268800000,
