com.samsung.health.floors_climbed,6293007,6
start_time,custom,update_time,create_time,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-02-18 07:09:01.000,,1991-02-12 07:51:53.000,2025-02-18 10:36:28.000,2.6000001,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 10:36:28.000,64376261-645f-3838-3934-373839333731,
2025-02-18 07:09:01.000,,2025-02-18 10:37:18.000,2025-02-18 10:37:18.000,0.0,31346361-645f-3833-3035-373839333731.raw_data.json,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 10:37:18.000,31346361-645f-3833-3035-373839333731,
2025-02-18 10:36:01.000,,1991-02-12 07:51:53.000,2025-02-18 10:38:17.000,2.6000001,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 10:38:17.000,36326461-645f-3739-3035-373839333731,
2025-02-18 10:36:01.000,,1991-02-12 07:51:53.000,2025-02-18 10:38:28.000,2.6000001,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 10:38:28.000,30356461-645f-3830-3135-373839333731,
2025-02-18 10:36:01.000,,1991-02-12 07:51:53.000,2025-02-18 11:23:37.000,2.6000001,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 11:23:37.000,34393664-645f-3731-3837-373839333731,
2025-02-18 10:36:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:19:10.000,2.6000001,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:19:10.000,34363930-655f-3035-3131-383839333731,
2025-02-18 10:36:01.000,,2025-02-18 12:23:51.000,2025-02-18 12:23:51.000,4.15,63616430-655f-3133-3431-383839333731.raw_data.json,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:23:51.000,63616430-655f-3133-3431-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:23:56.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:23:56.000,66626430-655f-3633-3431-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:25:18.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:25:18.000,64666530-655f-3831-3531-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:26:19.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:26:19.000,61656630-655f-3937-3531-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:27:45.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:27:45.000,63333131-655f-3536-3631-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:28:22.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:28:22.000,64633131-655f-3230-3731-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 12:29:26.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 12:29:26.000,35633231-655f-3636-3731-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 13:39:38.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 13:39:38.000,35663235-655f-3837-3935-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 13:45:32.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 13:45:32.000,61353835-655f-3233-3336-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:34:00.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:34:00.000,30613438-655f-3034-3239-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:35:30.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:35:30.000,65663538-655f-3033-3339-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:36:39.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:36:39.000,62303738-655f-3939-3339-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:44:51.000,4.15,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:44:51.000,33386538-655f-3139-3839-383839333731,
2025-02-18 12:22:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:49:32.000,5.86,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:49:32.000,62633239-655f-3237-3130-393839333731,
2025-02-18 12:22:01.000,,2025-02-18 14:50:14.000,2025-02-18 14:50:14.000,7.08,63363339-655f-3431-3230-393839333731.raw_data.json,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:50:14.000,63363339-655f-3431-3230-393839333731,
2025-02-18 14:49:01.000,,2025-02-18 14:51:06.000,2025-02-18 14:51:06.000,0.0,36333439-655f-3636-3230-393839333731.raw_data.json,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:51:06.000,36333439-655f-3636-3230-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:52:43.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:52:43.000,65613539-655f-3336-3330-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:54:28.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:54:28.000,61343739-655f-3836-3430-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:57:37.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:57:37.000,38326139-655f-3735-3630-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:58:41.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:58:41.000,31326239-655f-3132-3730-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 14:59:09.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 14:59:09.000,64386239-655f-3934-3730-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:09:44.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:09:44.000,37326364-655f-3438-3934-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:10:49.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:10:49.000,32326464-655f-3934-3035-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:12:29.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:12:29.000,38616564-655f-3934-3135-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:12:55.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:12:55.000,66306664-655f-3537-3135-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:14:28.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:14:28.000,39373065-655f-3836-3235-393839333731,
2025-02-18 14:50:01.000,,1991-02-12 07:51:53.000,2025-02-18 16:16:59.000,7.08,,UTC+0100,MhLCbMNGdz,com.sec.android.app.shealth,2025-02-18 16:16:59.000,36633265-655f-3931-3435-393839333731,
