com.samsung.shealth.step_daily_trend,6292001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
c3fbdd51-f83e-4711-a2cb-792ccec1d231.binning_data.json,2025-01-26 23:00:00.760,2025-01-26 23:00:00.760,com.sec.android.app.shealth,0,2531,1.2432027,1886.09,79.909996,R0X8Tl1DGH,com.sec.android.app.shealth,c3fbdd51-f83e-4711-a2cb-792ccec1d231,1737849600000,
8997af47-3767-445b-b094-bdc2a2eac709.binning_data.json,2025-01-26 23:00:01.041,2025-01-26 23:00:01.041,com.sec.android.app.shealth,25,879,1.2102734,665.6504,31.933594,MhLCbMNGdz,com.sec.android.app.shealth,8997af47-3767-445b-b094-bdc2a2eac709,1737849600000,
fa8c4ff2-064b-4cfb-bc07-d5dd9593db34.binning_data.json,2025-01-27 22:36:07.045,2025-01-27 06:51:04.736,com.sec.android.app.shealth,-2,2705,1.3127291,2023.2683,88.64749,VfS0qUERdZ,com.sec.android.app.shealth,fa8c4ff2-064b-4cfb-bc07-d5dd9593db34,1737936000000,
2f41c63a-cd47-470e-a352-fcc6e7eb8fa2.binning_data.json,2025-01-27 23:00:00.760,2025-01-27 23:00:00.760,com.sec.android.app.shealth,0,2403,1.2429751,1791.37,75.759995,R0X8Tl1DGH,com.sec.android.app.shealth,2f41c63a-cd47-470e-a352-fcc6e7eb8fa2,1737936000000,
5a7fedd0-dbab-4d88-80d7-30eab73b11ec.binning_data.json,2025-01-27 23:00:01.045,2025-01-27 23:00:01.045,com.sec.android.app.shealth,25,544,1.6437188,410.9297,20.613892,MhLCbMNGdz,com.sec.android.app.shealth,5a7fedd0-dbab-4d88-80d7-30eab73b11ec,1737936000000,
b4cde61b-12f6-4a3c-bb35-b0b585d69ac3.binning_data.json,2025-01-28 18:49:18.009,2025-01-28 07:15:20.712,com.sec.android.app.shealth,-2,4409,1.2823151,3300.8901,135.52,VfS0qUERdZ,com.sec.android.app.shealth,b4cde61b-12f6-4a3c-bb35-b0b585d69ac3,1738022400000,
74983ac2-0d54-4c1a-9127-0862108caeba.binning_data.json,2025-01-28 23:00:01.357,2025-01-28 23:00:01.357,com.sec.android.app.shealth,0,4409,1.2823151,3300.8901,135.52,R0X8Tl1DGH,com.sec.android.app.shealth,74983ac2-0d54-4c1a-9127-0862108caeba,1738022400000,
036ce745-0fbf-4b95-93d8-5fc8f7a124c8.binning_data.json,2025-01-29 22:48:20.746,2025-01-29 07:46:28.939,com.sec.android.app.shealth,-2,1684,1.308058,1275.7888,54.465332,VfS0qUERdZ,com.sec.android.app.shealth,036ce745-0fbf-4b95-93d8-5fc8f7a124c8,1738108800000,
754e16ca-58df-4f58-9327-5f1d6c75a49b.binning_data.json,2025-01-29 23:00:01.682,2025-01-29 23:00:01.682,com.sec.android.app.shealth,0,1490,1.2950345,1121.65,46.92,R0X8Tl1DGH,com.sec.android.app.shealth,754e16ca-58df-4f58-9327-5f1d6c75a49b,1738108800000,
fdf00635-3f67-4303-a6eb-ceebc14c0c79.binning_data.json,2025-01-29 23:00:02.425,2025-01-29 23:00:02.425,com.sec.android.app.shealth,25,275,1.4303776,214.55664,10.439331,MhLCbMNGdz,com.sec.android.app.shealth,fdf00635-3f67-4303-a6eb-ceebc14c0c79,1738108800000,
95118842-db4c-498d-9fbd-735dfc68931b.binning_data.json,2025-01-30 23:00:01.265,2025-01-29 23:12:00.851,com.sec.android.app.shealth,-2,4718,1.2868946,3525.7942,147.53552,VfS0qUERdZ,com.sec.android.app.shealth,95118842-db4c-498d-9fbd-735dfc68931b,1738195200000,
c7ba8798-7c05-4f64-9ea5-8a76deac6fb5.binning_data.json,2025-01-30 23:00:00.996,2025-01-30 23:00:00.996,com.sec.android.app.shealth,0,4367,1.2510033,3259.24,134.56999,R0X8Tl1DGH,com.sec.android.app.shealth,c7ba8798-7c05-4f64-9ea5-8a76deac6fb5,1738195200000,
26632ca0-359a-4d94-91e8-938eaa20670a.binning_data.json,2025-01-30 23:00:01.324,2025-01-30 23:00:01.324,com.sec.android.app.shealth,25,483,1.6825691,364.55664,17.288452,MhLCbMNGdz,com.sec.android.app.shealth,26632ca0-359a-4d94-91e8-938eaa20670a,1738195200000,
6901ab5a-1b45-464b-8b8d-5f254fe22517.binning_data.json,2025-01-31 18:51:39.805,2025-01-30 23:08:16.602,com.sec.android.app.shealth,-2,4531,1.325038,3451.8882,167.57684,VfS0qUERdZ,com.sec.android.app.shealth,6901ab5a-1b45-464b-8b8d-5f254fe22517,1738281600000,
7005dde9-5407-4f00-b46a-b09b7afd3f57.binning_data.json,2025-01-31 23:00:01.019,2025-01-31 23:00:01.019,com.sec.android.app.shealth,0,4140,1.3414887,3153.77,152.94,R0X8Tl1DGH,com.sec.android.app.shealth,7005dde9-5407-4f00-b46a-b09b7afd3f57,1738281600000,
587bebaf-677b-4329-848e-78be89c0e9a9.binning_data.json,2025-01-31 23:00:01.230,2025-01-31 23:00:01.230,com.sec.android.app.shealth,25,577,1.1421144,437.81055,21.20935,MhLCbMNGdz,com.sec.android.app.shealth,587bebaf-677b-4329-848e-78be89c0e9a9,1738281600000,
e6fded43-c011-4f21-bbaf-1bd95fed7ac4.binning_data.json,2025-02-01 23:00:01.152,2025-02-01 06:15:09.153,com.sec.android.app.shealth,-2,18063,1.3725476,13665.332,668.9783,VfS0qUERdZ,com.sec.android.app.shealth,e6fded43-c011-4f21-bbaf-1bd95fed7ac4,1738368000000,
73ca7c0b-41ca-4835-bf63-b6a843ff40a2.binning_data.json,2025-02-01 23:00:00.933,2025-02-01 23:00:00.933,com.sec.android.app.shealth,0,15715,1.307102,11832.69,577.75995,R0X8Tl1DGH,com.sec.android.app.shealth,73ca7c0b-41ca-4835-bf63-b6a843ff40a2,1738368000000,
17dbae84-c728-4c84-90e3-4c98f61937d8.binning_data.json,2025-02-01 23:00:01.247,2025-02-01 23:00:01.247,com.sec.android.app.shealth,25,10567,1.4985251,8017.1094,388.74817,MhLCbMNGdz,com.sec.android.app.shealth,17dbae84-c728-4c84-90e3-4c98f61937d8,1738368000000,
f95c94e5-d124-4992-936b-46dabc112899.binning_data.json,2025-02-02 23:00:00.965,2025-02-02 06:23:08.166,com.sec.android.app.shealth,-2,4074,1.2868145,3069.1396,149.92596,VfS0qUERdZ,com.sec.android.app.shealth,f95c94e5-d124-4992-936b-46dabc112899,1738454400000,
96682c2b-c665-47b3-b5c3-39694e3340e1.binning_data.json,2025-02-02 23:00:00.766,2025-02-02 23:00:00.766,com.sec.android.app.shealth,0,2625,1.2263991,1951.01,97.31,R0X8Tl1DGH,com.sec.android.app.shealth,96682c2b-c665-47b3-b5c3-39694e3340e1,1738454400000,
