com.samsung.shealth.activity.day_summary,6293007,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.678,10,2025-01-14 15:14:41.168,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ffcfc64e-30d5-4dd3-b4b0-379e1723b3a6.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,ffcfc64e-30d5-4dd3-b4b0-379e1723b3a6,2024-12-29 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.863,10,2025-01-14 15:14:41.311,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,22a142b4-2c53-48b5-b893-cc8d78979cca.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,22a142b4-2c53-48b5-b893-cc8d78979cca,2024-12-28 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:02.990,10,2025-01-14 15:14:41.430,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ae6b5c31-b94d-46a8-8e1c-46268a2d1051.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,ae6b5c31-b94d-46a8-8e1c-46268a2d1051,2024-12-27 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:03.186,10,2025-01-14 15:14:41.606,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ffa316e1-6794-474c-8f76-00f974d3d163.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,ffa316e1-6794-474c-8f76-00f974d3d163,2024-12-26 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:03.445,10,2025-01-14 15:14:41.747,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,7d659cc7-924f-4539-a577-df164049b4b4.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,7d659cc7-924f-4539-a577-df164049b4b4,2024-12-25 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-20 06:38:03.586,10,2025-01-14 15:14:41.889,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,7525eeb2-3f26-41e5-88c9-b12e336be225.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,7525eeb2-3f26-41e5-88c9-b12e336be225,2024-12-24 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-19 00:46:50.859,10,2025-01-14 15:14:42.026,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,bb5a131a-e777-4b76-bd90-ae779f1daa6f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,bb5a131a-e777-4b76-bd90-ae779f1daa6f,2024-12-23 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-18 17:17:19.504,10,2025-01-14 15:14:42.185,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,e802d244-1b9f-41c4-989f-c41b6d250ab0.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,e802d244-1b9f-41c4-989f-c41b6d250ab0,2024-12-22 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-14 15:16:04.457,10,2025-01-14 15:14:42.323,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,6abad3d2-cb5e-4d77-9f76-93727200d29f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,6abad3d2-cb5e-4d77-9f76-93727200d29f,2024-12-21 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62850050,2025-01-14 15:16:04.602,10,2025-01-14 15:14:42.458,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,417137cc-a8b2-4a1e-8507-9c1b8f438406.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,417137cc-a8b2-4a1e-8507-9c1b8f438406,2024-12-20 00:00:00.000,
