com.samsung.shealth.tracker.pedometer_day_summary,6293007,6
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
62850050,5927,b3c95601-4285-44f9-9a66-41bc0376d796.binning_data.json,3549799,6000,62850050,1,2025-01-17 23:00:00.353,com.sec.android.app.shealth,2025-01-17 23:00:00.353,,1.2458704,4422.59,225.79,5926,R0X8Tl1DGH,com.sec.android.app.shealth,0,b3c95601-4285-44f9-9a66-41bc0376d796.achievement.json,b3c95601-4285-44f9-9a66-41bc0376d796,1737072000000,
62850050,604,a515a6e3-d083-4c8b-8450-10264079f418.binning_data.json,250000,6000,62850050,8,2025-01-17 23:00:00.535,com.sec.android.app.shealth,2025-01-17 23:00:00.535,,1.8218973,455.47433,22.128538,596,MhLCbMNGdz,com.sec.android.app.shealth,0,a515a6e3-d083-4c8b-8450-10264079f418.achievement.json,a515a6e3-d083-4c8b-8450-10264079f418,1737072000000,
62850050,16650,afcf3efe-1ead-47ef-ae56-ef31f46a17d5.binning_data.json,9257361,6000,62900750,62,2025-01-19 23:00:00.884,com.sec.android.app.shealth,2025-01-18 06:27:24.234,afcf3efe-1ead-47ef-ae56-ef31f46a17d5.source_info.json,1.3518368,12514.441,614.7305,16588,VfS0qUERdZ,com.sec.android.app.shealth,0,afcf3efe-1ead-47ef-ae56-ef31f46a17d5.achievement.json,afcf3efe-1ead-47ef-ae56-ef31f46a17d5,1737158400000,
62850050,14766,64501276-e37d-424c-bc41-2c38c9422dcf.binning_data.json,8680255,6000,62850050,1,2025-01-18 23:00:52.672,com.sec.android.app.shealth,2025-01-18 23:00:00.658,,1.2745005,11062.99,546.87,14765,R0X8Tl1DGH,com.sec.android.app.shealth,0,64501276-e37d-424c-bc41-2c38c9422dcf.achievement.json,64501276-e37d-424c-bc41-2c38c9422dcf,1737158400000,
62850050,9543,9e30bafd-fb28-4b51-89a5-55172f5aa446.binning_data.json,4666666,6000,62850050,98,2025-01-18 23:00:01.019,com.sec.android.app.shealth,2025-01-18 23:00:01.019,,1.5470871,7219.7397,345.44928,9445,MhLCbMNGdz,com.sec.android.app.shealth,0,9e30bafd-fb28-4b51-89a5-55172f5aa446.achievement.json,9e30bafd-fb28-4b51-89a5-55172f5aa446,1737158400000,
62850050,2645,ac0b5703-a2e9-4ec4-982d-ce169c46910b.binning_data.json,1590846,6000,62900750,0,2025-01-20 06:37:55.985,com.sec.android.app.shealth,2025-01-18 23:05:07.508,ac0b5703-a2e9-4ec4-982d-ce169c46910b.source_info.json,1.2400434,1972.7185,84.77153,2645,VfS0qUERdZ,com.sec.android.app.shealth,0,ac0b5703-a2e9-4ec4-982d-ce169c46910b.achievement.json,ac0b5703-a2e9-4ec4-982d-ce169c46910b,1737244800000,
62900750,2565,7d20b065-a677-4d1d-a7f8-df056013262d.binning_data.json,1524179,6000,62900750,0,2025-01-19 23:00:00.704,com.sec.android.app.shealth,2025-01-19 23:00:00.704,,1.2554227,1913.49,81.92,2565,R0X8Tl1DGH,com.sec.android.app.shealth,0,7d20b065-a677-4d1d-a7f8-df056013262d.achievement.json,7d20b065-a677-4d1d-a7f8-df056013262d,1737244800000,
62900750,5589,2bb3400f-1f31-4f20-88a6-0059c7ba65c6.binning_data.json,3249791,6000,62900750,56,2025-01-20 18:23:24.347,com.sec.android.app.shealth,2025-01-20 06:43:16.178,2bb3400f-1f31-4f20-88a6-0059c7ba65c6.source_info.json,1.2803841,4160.981,191.20796,5533,VfS0qUERdZ,com.sec.android.app.shealth,0,2bb3400f-1f31-4f20-88a6-0059c7ba65c6.achievement.json,2bb3400f-1f31-4f20-88a6-0059c7ba65c6,1737331200000,
62900750,3916,0eba689e-eb07-4ffa-9fa0-ea13fabea317.binning_data.json,2506962,6000,62900750,0,2025-01-20 23:00:01.544,com.sec.android.app.shealth,2025-01-20 23:00:01.544,,1.1486808,2879.7,120.31,3916,R0X8Tl1DGH,com.sec.android.app.shealth,0,0eba689e-eb07-4ffa-9fa0-ea13fabea317.achievement.json,0eba689e-eb07-4ffa-9fa0-ea13fabea317,1737331200000,
62900750,80,f4450c21-54f9-463d-9067-011ea7e0f516.binning_data.json,66666,6000,62900750,0,2025-01-20 23:00:01.857,com.sec.android.app.shealth,2025-01-20 23:00:01.857,,0.88842773,59.228516,2.851532,80,MhLCbMNGdz,com.sec.android.app.shealth,0,f4450c21-54f9-463d-9067-011ea7e0f516.achievement.json,f4450c21-54f9-463d-9067-011ea7e0f516,1737244800000,
62900750,4282,9d68683a-b285-4d69-9aef-9b2930fe3d58.binning_data.json,2033333,6000,62900750,56,2025-01-20 23:00:01.872,com.sec.android.app.shealth,2025-01-20 23:00:01.872,,1.584832,3222.4917,158.6535,4226,MhLCbMNGdz,com.sec.android.app.shealth,0,9d68683a-b285-4d69-9aef-9b2930fe3d58.achievement.json,9d68683a-b285-4d69-9aef-9b2930fe3d58,1737331200000,
62900750,4681,0cb49c0d-bc43-4978-893d-79ff97094c99.binning_data.json,2835929,6000,62900750,207,2025-01-22 06:59:19.607,com.sec.android.app.shealth,2025-01-20 23:58:07.636,0cb49c0d-bc43-4978-893d-79ff97094c99.source_info.json,1.2435303,3526.5645,159.7684,4474,VfS0qUERdZ,com.sec.android.app.shealth,0,0cb49c0d-bc43-4978-893d-79ff97094c99.achievement.json,0cb49c0d-bc43-4978-893d-79ff97094c99,1737417600000,
62900750,3742,cb3047db-451b-4161-8f43-9aca5765750f.binning_data.json,2297159,6000,62900750,22,2025-01-21 23:00:00.978,com.sec.android.app.shealth,2025-01-21 23:00:00.978,,1.2158318,2792.96,118.549995,3720,R0X8Tl1DGH,com.sec.android.app.shealth,0,cb3047db-451b-4161-8f43-9aca5765750f.achievement.json,cb3047db-451b-4161-8f43-9aca5765750f,1737417600000,
62900750,1456,76f4ae2e-218d-4b5d-9f0a-92b4da225a1a.binning_data.json,866666,6000,62900750,197,2025-01-22 23:00:01.990,com.sec.android.app.shealth,2025-01-21 23:00:01.229,,1.3024782,1128.8145,59.076416,1259,MhLCbMNGdz,com.sec.android.app.shealth,0,76f4ae2e-218d-4b5d-9f0a-92b4da225a1a.achievement.json,76f4ae2e-218d-4b5d-9f0a-92b4da225a1a,1737417600000,
62900750,4506,0ce23d70-dab7-4d2f-b6e7-372541986155.binning_data.json,2654211,6000,62900750,6,2025-01-22 22:34:36.517,com.sec.android.app.shealth,2025-01-22 07:02:06.275,0ce23d70-dab7-4d2f-b6e7-372541986155.source_info.json,1.2686809,3367.3474,145.13922,4500,VfS0qUERdZ,com.sec.android.app.shealth,0,0ce23d70-dab7-4d2f-b6e7-372541986155.achievement.json,0ce23d70-dab7-4d2f-b6e7-372541986155,1737504000000,
62900750,3926,c5320da7-0567-4e1f-bbe8-b31ea779faac.binning_data.json,2335738,6000,62900750,1,2025-01-22 23:00:01.568,com.sec.android.app.shealth,2025-01-22 23:00:01.568,,1.2553077,2932.07,122.46,3925,R0X8Tl1DGH,com.sec.android.app.shealth,0,c5320da7-0567-4e1f-bbe8-b31ea779faac.achievement.json,c5320da7-0567-4e1f-bbe8-b31ea779faac,1737504000000,
62900750,1305,4e5d2546-b75c-4fd8-9a18-92f3eb00461b.binning_data.json,649999,6000,62900750,5,2025-01-22 23:00:01.986,com.sec.android.app.shealth,2025-01-22 23:00:01.986,,1.5045508,977.958,48.151123,1300,MhLCbMNGdz,com.sec.android.app.shealth,0,4e5d2546-b75c-4fd8-9a18-92f3eb00461b.achievement.json,4e5d2546-b75c-4fd8-9a18-92f3eb00461b,1737504000000,
62900750,4578,6ae167ee-6d6b-4588-b003-02ccd33c7044.binning_data.json,2710269,6000,62900750,1,2025-01-23 22:30:54.657,com.sec.android.app.shealth,2025-01-23 07:24:36.126,6ae167ee-6d6b-4588-b003-02ccd33c7044.source_info.json,1.2626679,3422.17,141.54,4577,VfS0qUERdZ,com.sec.android.app.shealth,0,6ae167ee-6d6b-4588-b003-02ccd33c7044.achievement.json,6ae167ee-6d6b-4588-b003-02ccd33c7044,1737590400000,
62900750,4578,754b53f8-aa20-4c31-94eb-4cdb0081a46e.binning_data.json,2710269,6000,62900750,1,2025-01-23 23:00:00.693,com.sec.android.app.shealth,2025-01-23 23:00:00.693,,1.2626679,3422.17,141.54,4577,R0X8Tl1DGH,com.sec.android.app.shealth,0,754b53f8-aa20-4c31-94eb-4cdb0081a46e.achievement.json,754b53f8-aa20-4c31-94eb-4cdb0081a46e,1737590400000,
62900750,1564,8e3c46c7-c943-43e4-bb40-712e4cfd0799.binning_data.json,915297,6000,62900750,0,2025-01-24 23:00:01.538,com.sec.android.app.shealth,2025-01-24 07:50:09.108,8e3c46c7-c943-43e4-bb40-712e4cfd0799.source_info.json,1.2827737,1174.12,48.879997,1564,VfS0qUERdZ,com.sec.android.app.shealth,0,8e3c46c7-c943-43e4-bb40-712e4cfd0799.achievement.json,8e3c46c7-c943-43e4-bb40-712e4cfd0799,1737676800000,
62900750,1564,adeaa654-1189-44d7-bda8-45b236ca412b.binning_data.json,915297,6000,62900750,0,2025-01-24 23:00:01.380,com.sec.android.app.shealth,2025-01-24 23:00:01.380,,1.2827737,1174.12,48.879997,1564,R0X8Tl1DGH,com.sec.android.app.shealth,0,adeaa654-1189-44d7-bda8-45b236ca412b.achievement.json,adeaa654-1189-44d7-bda8-45b236ca412b,1737676800000,
62900750,16869,265a7605-88ed-4deb-bf2c-2adba3fe87dd.binning_data.json,9454149,6000,62900750,172,2025-01-25 22:18:24.481,com.sec.android.app.shealth,2025-01-25 06:05:33.869,265a7605-88ed-4deb-bf2c-2adba3fe87dd.source_info.json,1.3479913,12744.111,558.9864,16697,VfS0qUERdZ,com.sec.android.app.shealth,0,265a7605-88ed-4deb-bf2c-2adba3fe87dd.achievement.json,265a7605-88ed-4deb-bf2c-2adba3fe87dd,1737763200000,
62900750,13174,6aa23f1f-847e-4b2a-8d8d-fc747e742efe.binning_data.json,7655325,6000,62900750,12,2025-01-25 23:00:00.559,com.sec.android.app.shealth,2025-01-25 23:00:00.559,,1.294504,9909.85,412.09,13162,R0X8Tl1DGH,com.sec.android.app.shealth,0,6aa23f1f-847e-4b2a-8d8d-fc747e742efe.achievement.json,6aa23f1f-847e-4b2a-8d8d-fc747e742efe,1737763200000,
62900750,11369,df87ebe3-9a0d-418d-94b9-302c918149dc.binning_data.json,5883333,6000,62900750,214,2025-01-25 23:00:00.835,com.sec.android.app.shealth,2025-01-25 23:00:00.835,,1.4642203,8614.496,414.4284,11155,MhLCbMNGdz,com.sec.android.app.shealth,0,df87ebe3-9a0d-418d-94b9-302c918149dc.achievement.json,df87ebe3-9a0d-418d-94b9-302c918149dc,1737763200000,
62900750,2998,69973fba-7cea-4df5-8235-857075daf54f.binning_data.json,1815085,6000,62900750,7,2025-01-26 21:00:27.224,com.sec.android.app.shealth,2025-01-26 08:49:56.595,69973fba-7cea-4df5-8235-857075daf54f.source_info.json,1.2365062,2244.3647,98.291756,2991,VfS0qUERdZ,com.sec.android.app.shealth,0,69973fba-7cea-4df5-8235-857075daf54f.achievement.json,69973fba-7cea-4df5-8235-857075daf54f,1737849600000,
62900750,2531,1f926181-6181-48ea-9cef-c36eabf8d5dc.binning_data.json,1517121,6000,62900750,0,2025-01-26 23:00:00.740,com.sec.android.app.shealth,2025-01-26 23:00:00.740,,1.2432027,1886.09,79.909996,2531,R0X8Tl1DGH,com.sec.android.app.shealth,0,1f926181-6181-48ea-9cef-c36eabf8d5dc.achievement.json,1f926181-6181-48ea-9cef-c36eabf8d5dc,1737849600000,
62900750,879,e02d1bf9-8fcc-40ef-9921-a0adccc3fa51.binning_data.json,549999,6000,62900750,7,2025-01-26 23:00:01.022,com.sec.android.app.shealth,2025-01-26 23:00:01.022,,1.2102734,665.6504,31.933594,872,MhLCbMNGdz,com.sec.android.app.shealth,0,e02d1bf9-8fcc-40ef-9921-a0adccc3fa51.achievement.json,e02d1bf9-8fcc-40ef-9921-a0adccc3fa51,1737849600000,
62900750,2705,f33158ae-c7c9-4d3b-87b1-b86b548b5921.binning_data.json,1541268,6000,62900750,14,2025-01-27 22:36:07.026,com.sec.android.app.shealth,2025-01-27 06:51:04.705,f33158ae-c7c9-4d3b-87b1-b86b548b5921.source_info.json,1.3127291,2023.2683,88.64749,2691,VfS0qUERdZ,com.sec.android.app.shealth,0,f33158ae-c7c9-4d3b-87b1-b86b548b5921.achievement.json,f33158ae-c7c9-4d3b-87b1-b86b548b5921,1737936000000,
62900750,2403,c9242564-bde6-40c1-a97c-2c76b08ea42c.binning_data.json,1441195,6000,62900750,0,2025-01-27 23:00:00.733,com.sec.android.app.shealth,2025-01-27 23:00:00.733,,1.2429751,1791.37,75.759995,2403,R0X8Tl1DGH,com.sec.android.app.shealth,0,c9242564-bde6-40c1-a97c-2c76b08ea42c.achievement.json,c9242564-bde6-40c1-a97c-2c76b08ea42c,1737936000000,
62900750,544,d9a6ecbe-b304-4208-bd19-b1a756475446.binning_data.json,249999,6000,62900750,14,2025-01-27 23:00:01.030,com.sec.android.app.shealth,2025-01-27 23:00:01.030,,1.6437188,410.9297,20.613892,530,MhLCbMNGdz,com.sec.android.app.shealth,0,d9a6ecbe-b304-4208-bd19-b1a756475446.achievement.json,d9a6ecbe-b304-4208-bd19-b1a756475446,1737936000000,
