step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject
10,17.63,,1.21,2025-01-28 10:41:00,2025-01-28 10:42:00,UTC+0100,1
6,4.94,,0.19,2025-01-28 12:09:00,2025-01-28 12:10:00,UTC+0100,1
13,9.230001,,0.49999994,2025-01-28 14:56:00,2025-01-28 14:57:00,UTC+0100,1
7,7.09,,0.48999998,2025-01-28 15:21:00,2025-01-28 15:22:00,UTC+0100,1
8,8.32,,0.46,2025-01-28 15:36:00,2025-01-28 15:37:00,UTC+0100,1
12,9.860001,,0.4,2025-01-28 16:53:00,2025-01-28 16:54:00,UTC+0100,1
7,5.1899996,,0.26,2025-01-28 16:59:00,2025-01-28 17:00:00,UTC+0100,1
7,5.4700003,,0.25,2025-01-28 17:49:00,2025-01-28 17:50:00,UTC+0100,1
8,6.2799997,,0.29,2025-01-28 17:50:00,2025-01-28 17:51:00,UTC+0100,1
4,3.09,,0.15,2025-01-28 17:51:00,2025-01-28 17:52:00,UTC+0100,1
7,6.7799997,,0.42,2025-01-28 18:55:00,2025-01-28 18:56:00,UTC+0100,1
7,16.94,,1.13,2025-01-28 19:00:00,2025-01-28 19:01:00,UTC+0100,1
7,5.41,,0.25,2025-01-28 20:29:00,2025-01-28 20:30:00,UTC+0100,1
9,7.28,,0.32,2025-01-29 00:01:00,2025-01-29 00:02:00,UTC+0100,1
12,9.4,,0.45,2025-01-29 00:12:00,2025-01-29 00:13:00,UTC+0100,1
13,10.34,,0.44,2025-01-30 00:51:00,2025-01-30 00:52:00,UTC+0100,1
32,26.41,,1.17,2025-01-30 06:43:00,2025-01-30 06:44:00,UTC+0100,1
7,5.41,,0.25,2025-01-30 06:44:00,2025-01-30 06:45:00,UTC+0100,1
32,26.960003,,1.4399998,2025-01-30 06:45:00,2025-01-30 06:46:00,UTC+0100,1
47,35.74,,1.79,2025-01-30 06:46:00,2025-01-30 06:47:00,UTC+0100,1
121,95.91,,4.84,2025-01-30 06:47:00,2025-01-30 06:48:00,UTC+0100,1
136,115.58,,6.29,2025-01-30 06:48:00,2025-01-30 06:49:00,UTC+0100,1
98,76.61,,3.9,2025-01-30 06:49:00,2025-01-30 06:50:00,UTC+0100,1
129,100.62,,5.16,2025-01-30 06:50:00,2025-01-30 06:51:00,UTC+0100,1
128,99.84,,5.12,2025-01-30 06:51:00,2025-01-30 06:52:00,UTC+0100,1
109,85.44,,4.3599997,2025-01-30 06:52:00,2025-01-30 06:53:00,UTC+0100,1
76,59.22,,3.04,2025-01-30 06:53:00,2025-01-30 06:54:00,UTC+0100,1
63,48.72,,2.49,2025-01-30 06:54:00,2025-01-30 06:55:00,UTC+0100,1
14,13.52,,0.8,2025-01-30 06:55:00,2025-01-30 06:56:00,UTC+0100,1
23,17.83,,0.89,2025-01-30 06:56:00,2025-01-30 06:57:00,UTC+0100,1
137,107.44,,5.52,2025-01-30 07:12:00,2025-01-30 07:13:00,UTC+0100,1
114,88.920006,,4.56,2025-01-30 07:13:00,2025-01-30 07:14:00,UTC+0100,1
131,103.41,,5.24,2025-01-30 07:14:00,2025-01-30 07:15:00,UTC+0100,1
111,86.01,,4.44,2025-01-30 07:15:00,2025-01-30 07:16:00,UTC+0100,1
124,96.36,,4.96,2025-01-30 07:16:00,2025-01-30 07:17:00,UTC+0100,1
120,92.85,,4.8,2025-01-30 07:17:00,2025-01-30 07:18:00,UTC+0100,1
119,92.82,,4.76,2025-01-30 07:18:00,2025-01-30 07:19:00,UTC+0100,1
122,95.13,,4.88,2025-01-30 07:19:00,2025-01-30 07:20:00,UTC+0100,1
97,74.01,,3.88,2025-01-30 07:20:00,2025-01-30 07:21:00,UTC+0100,1
89,66.75,,3.5599978,2025-01-30 07:21:00,2025-01-30 07:22:00,UTC+0100,1
110,83.87999,,4.389998,2025-01-30 07:22:00,2025-01-30 07:23:00,UTC+0100,1
115,88.17,,4.6,2025-01-30 07:23:00,2025-01-30 07:24:00,UTC+0100,1
108,82.92,,4.31,2025-01-30 07:24:00,2025-01-30 07:25:00,UTC+0100,1
119,91.95,,4.76,2025-01-30 07:25:00,2025-01-30 07:26:00,UTC+0100,1
110,82.89,,4.33,2025-01-30 07:26:00,2025-01-30 07:27:00,UTC+0100,1
121,93.9,,4.84,2025-01-30 07:27:00,2025-01-30 07:28:00,UTC+0100,1
116,92.38,,4.65,2025-01-30 07:28:00,2025-01-30 07:29:00,UTC+0100,1
73,54.32,,2.84,2025-01-30 07:29:00,2025-01-30 07:30:00,UTC+0100,1
58,43.109993,,2.3099997,2025-01-30 07:30:00,2025-01-30 07:31:00,UTC+0100,1
20,15.980001,,0.7200001,2025-01-30 07:31:00,2025-01-30 07:32:00,UTC+0100,1
7,5.84,,0.25,2025-01-30 07:38:00,2025-01-30 07:39:00,UTC+0100,1
17,13.440001,,0.59,2025-01-30 07:40:00,2025-01-30 07:41:00,UTC+0100,1
59,48.02,,2.57,2025-01-30 07:41:00,2025-01-30 07:42:00,UTC+0100,1
32,25.58,,1.2,2025-01-30 07:44:00,2025-01-30 07:45:00,UTC+0100,1
10,7.53,,0.37,2025-01-30 07:45:00,2025-01-30 07:46:00,UTC+0100,1
7,6.22,,0.26,2025-01-30 07:46:00,2025-01-30 07:47:00,UTC+0100,1
52,40.7,,2.01,2025-01-30 07:47:00,2025-01-30 07:48:00,UTC+0100,1
96,72.59999,,3.789998,2025-01-30 10:43:00,2025-01-30 10:44:00,UTC+0100,1
120,92.76,,4.7799997,2025-01-30 10:44:00,2025-01-30 10:45:00,UTC+0100,1
120,93.78,,4.8,2025-01-30 10:45:00,2025-01-30 10:46:00,UTC+0100,1
120,92.85,,4.8,2025-01-30 10:46:00,2025-01-30 10:47:00,UTC+0100,1
118,90.78,,4.72,2025-01-30 10:47:00,2025-01-30 10:48:00,UTC+0100,1
122,95.16,,4.88,2025-01-30 10:48:00,2025-01-30 10:49:00,UTC+0100,1
40,30.9,,1.6,2025-01-30 10:49:00,2025-01-30 10:50:00,UTC+0100,1
44,33.39,,1.7,2025-01-30 10:58:00,2025-01-30 10:59:00,UTC+0100,1
43,33.010006,,1.6899995,2025-01-30 10:59:00,2025-01-30 11:00:00,UTC+0100,1
35,26.41,,1.3400002,2025-01-30 11:00:00,2025-01-30 11:01:00,UTC+0100,1
40,32.0,,1.53,2025-01-30 11:01:00,2025-01-30 11:02:00,UTC+0100,1
56,42.21,,2.16,2025-01-30 11:04:00,2025-01-30 11:05:00,UTC+0100,1
118,90.69,,4.72,2025-01-30 11:05:00,2025-01-30 11:06:00,UTC+0100,1
110,85.05,,4.4,2025-01-30 11:06:00,2025-01-30 11:07:00,UTC+0100,1
102,78.81,,4.08,2025-01-30 11:07:00,2025-01-30 11:08:00,UTC+0100,1
87,64.74,,3.45,2025-01-30 11:08:00,2025-01-30 11:09:00,UTC+0100,1
7,5.69,,0.25,2025-01-30 11:09:00,2025-01-30 11:10:00,UTC+0100,1
102,77.73,,4.05,2025-01-30 11:10:00,2025-01-30 11:11:00,UTC+0100,1
116,90.06,,4.64,2025-01-30 11:11:00,2025-01-30 11:12:00,UTC+0100,1
122,95.31,,4.88,2025-01-30 11:12:00,2025-01-30 11:13:00,UTC+0100,1
121,93.9,,4.84,2025-01-30 11:13:00,2025-01-30 11:14:00,UTC+0100,1
118,90.51,,4.72,2025-01-30 11:14:00,2025-01-30 11:15:00,UTC+0100,1
68,52.57,,2.69,2025-01-30 11:15:00,2025-01-30 11:16:00,UTC+0100,1
126,99.3,,5.04,2025-01-30 11:16:00,2025-01-30 11:17:00,UTC+0100,1
125,97.5,,5.0,2025-01-30 11:17:00,2025-01-30 11:18:00,UTC+0100,1
125,97.71,,5.0,2025-01-30 11:18:00,2025-01-30 11:19:00,UTC+0100,1
23,17.37,,0.89,2025-01-30 11:19:00,2025-01-30 11:20:00,UTC+0100,1
