,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
58,37.0,27.789999,1.3033968,1.1299994,2025-02-19 12:09:00,2025-02-19 12:10:00,UTC+0100,2,Eindhoven
59,68.0,53.290005,1.5821316,2.0599988,2025-02-19 12:10:00,2025-02-19 12:11:00,UTC+0100,2,Eindhoven
60,45.0,32.820312,1.9692187,1.5979614,2025-02-19 12:09:00,2025-02-19 12:10:00,UTC+0100,2,Eindhoven
61,79.0,75.39,1.6204253,3.3099985,2025-02-19 12:11:00,2025-02-19 12:12:00,UTC+0100,2,Eindhoven
62,81.0,64.19824,3.8518946,2.857544,2025-02-19 12:10:00,2025-02-19 12:11:00,UTC+0100,2,Eindhoven
63,115.0,87.93,1.4655001,3.4499996,2025-02-19 12:12:00,2025-02-19 12:13:00,UTC+0100,2,Eindhoven
64,111.0,84.84,1.4139999,3.33,2025-02-19 12:13:00,2025-02-19 12:14:00,UTC+0100,2,Eindhoven
65,105.0,79.81,1.3611112,3.15,2025-02-19 12:14:00,2025-02-19 12:15:00,UTC+0100,2,Eindhoven
66,98.0,83.56641,5.013984,3.9381104,2025-02-19 12:11:00,2025-02-19 12:12:00,UTC+0100,2,Eindhoven
67,108.0,82.30371,4.938223,3.7825928,2025-02-19 12:12:00,2025-02-19 12:13:00,UTC+0100,2,Eindhoven
68,110.0,83.84473,5.0306835,3.861206,2025-02-19 12:13:00,2025-02-19 12:14:00,UTC+0100,2,Eindhoven
69,109.0,82.04004,4.9224024,3.814209,2025-02-19 12:14:00,2025-02-19 12:15:00,UTC+0100,2,Eindhoven
70,110.0,83.56641,5.013984,3.8510132,2025-02-19 12:15:00,2025-02-19 12:16:00,UTC+0100,2,Eindhoven
71,111.0,84.421875,5.0653124,3.894287,2025-02-19 12:16:00,2025-02-19 12:17:00,UTC+0100,2,Eindhoven
72,110.0,83.694336,5.0216603,3.8585815,2025-02-19 12:17:00,2025-02-19 12:18:00,UTC+0100,2,Eindhoven
73,111.0,84.04297,5.042578,0.5261841,2025-02-19 12:18:00,2025-02-19 12:19:00,UTC+0100,2,Eindhoven
74,114.0,86.64,1.444,3.42,2025-02-19 12:15:00,2025-02-19 12:16:00,UTC+0100,2,Eindhoven
