,step_count,distance_covered,speed,calories_burned,start_time_interval,end_time_interval,time_offset,test_subject,location
4560,31.0,22.898438,1.3739063,1.0554199,2025:02:22 10:52:00,2025:02:22 10:53:00,UTC+0100,2,Eindhoven
4566,48.0,36.05,1.2777778,1.89,2025:02:22 10:52:00,2025:02:22 10:53:00,UTC+0100,2,Eindhoven
4561,64.0,47.027344,2.8216407,2.2491455,2025:02:22 10:53:00,2025:02:22 10:54:00,UTC+0100,2,Eindhoven
4567,59.0,43.55,1.2222222,2.27,2025:02:22 10:53:00,2025:02:22 10:54:00,UTC+0100,2,Eindhoven
4568,27.0,20.27,1.4166666,0.95,2025:02:22 10:54:00,2025:02:22 10:55:00,UTC+0100,2,Eindhoven
4569,13.0,9.675781,0.58054686,0.43359375,2025:02:22 10:54:00,2025:02:22 10:55:00,UTC+0100,2,Eindhoven
4570,65.0,48.125,2.8875,2.3319092,2025:02:22 10:55:00,2025:02:22 10:56:00,UTC+0100,2,Eindhoven
4586,69.0,51.46,1.25,2.61,2025:02:22 10:55:00,2025:02:22 10:56:00,UTC+0100,2,Eindhoven
4571,84.0,62.3125,3.73875,2.9307861,2025:02:22 10:56:00,2025:02:22 10:57:00,UTC+0100,2,Eindhoven
4587,78.0,58.2,1.25,3.06,2025:02:22 10:56:00,2025:02:22 10:57:00,UTC+0100,2,Eindhoven
4572,21.0,15.3203125,0.9192188,0.7705078,2025:02:22 10:57:00,2025:02:22 10:58:00,UTC+0100,2,Eindhoven
4588,42.0,30.6,1.1666666,1.61,2025:02:22 10:57:00,2025:02:22 10:58:00,UTC+0100,2,Eindhoven
4573,84.0,62.839844,3.7703905,2.9418945,2025:02:22 10:58:00,2025:02:22 10:59:00,UTC+0100,2,Eindhoven
4589,83.0,62.38,1.3333334,3.26,2025:02:22 10:58:00,2025:02:22 10:59:00,UTC+0100,2,Eindhoven
4574,42.0,33.96875,2.038125,1.7979736,2025:02:22 10:59:00,2025:02:22 11:00:00,UTC+0100,2,Eindhoven
4590,34.0,25.0,1.2777778,1.29,2025:02:22 10:59:00,2025:02:22 11:00:00,UTC+0100,2,Eindhoven
4591,29.0,21.77,1.25,1.09,2025:02:22 11:00:00,2025:02:22 11:01:00,UTC+0100,2,Eindhoven
4592,76.0,58.19,1.4444444,2.47,2025:02:22 11:01:00,2025:02:22 11:02:00,UTC+0100,2,Eindhoven
4575,14.0,11.390625,0.6834375,0.5148926,2025:02:22 11:02:00,2025:02:22 11:03:00,UTC+0100,2,Eindhoven
4593,54.0,40.62,1.3055556,1.95,2025:02:22 11:02:00,2025:02:22 11:03:00,UTC+0100,2,Eindhoven
4594,53.0,41.26,1.5555556,1.76,2025:02:22 11:03:00,2025:02:22 11:04:00,UTC+0100,2,Eindhoven
4576,17.0,12.363281,0.74179685,0.6008301,2025:02:22 11:04:00,2025:02:22 11:05:00,UTC+0100,2,Eindhoven
4595,58.0,43.24,1.2777777,2.3,2025:02:22 11:04:00,2025:02:22 11:05:00,UTC+0100,2,Eindhoven
4577,25.0,19.398438,1.1639062,0.8465576,2025:02:22 11:05:00,2025:02:22 11:06:00,UTC+0100,2,Eindhoven
4596,45.0,33.04,1.1388888,1.72,2025:02:22 11:05:00,2025:02:22 11:06:00,UTC+0100,2,Eindhoven
4578,26.0,18.4375,1.10625,0.9144287,2025:02:22 11:06:00,2025:02:22 11:07:00,UTC+0100,2,Eindhoven
4597,56.0,41.91,1.25,2.07,2025:02:22 11:06:00,2025:02:22 11:07:00,UTC+0100,2,Eindhoven
4579,36.0,25.832031,1.5499219,1.2735596,2025:02:22 11:07:00,2025:02:22 11:08:00,UTC+0100,2,Eindhoven
4598,37.0,27.94,1.2222222,1.43,2025:02:22 11:07:00,2025:02:22 11:08:00,UTC+0100,2,Eindhoven
4580,13.0,9.332031,0.55992186,0.48217773,2025:02:22 11:08:00,2025:02:22 11:09:00,UTC+0100,2,Eindhoven
4599,20.0,14.87,1.25,0.77,2025:02:22 11:08:00,2025:02:22 11:09:00,UTC+0100,2,Eindhoven
4581,52.0,39.085938,2.3451562,1.831665,2025:02:22 11:09:00,2025:02:22 11:10:00,UTC+0100,2,Eindhoven
4600,26.0,19.64,1.3055556,1.01,2025:02:22 11:09:00,2025:02:22 11:10:00,UTC+0100,2,Eindhoven
4582,64.0,52.378906,3.1427343,2.5775146,2025:02:22 11:10:00,2025:02:22 11:11:00,UTC+0100,2,Eindhoven
4601,63.0,48.49,1.4444444,2.13,2025:02:22 11:10:00,2025:02:22 11:11:00,UTC+0100,2,Eindhoven
4583,11.0,8.28125,0.496875,0.35681152,2025:02:22 11:11:00,2025:02:22 11:12:00,UTC+0100,2,Eindhoven
4602,32.0,24.11,1.2777778,1.22,2025:02:22 11:11:00,2025:02:22 11:12:00,UTC+0100,2,Eindhoven
4584,60.0,44.1875,2.65125,2.06604,2025:02:22 11:12:00,2025:02:22 11:13:00,UTC+0100,2,Eindhoven
4603,65.0,49.32,1.3611112,2.37,2025:02:22 11:12:00,2025:02:22 11:13:00,UTC+0100,2,Eindhoven
4585,10.0,8.394531,0.5036719,0.62646484,2025:02:22 11:13:00,2025:02:22 11:14:00,UTC+0100,2,Eindhoven
4604,51.0,38.21,1.25,1.92,2025:02:22 11:13:00,2025:02:22 11:14:00,UTC+0100,2,Eindhoven
4605,11.0,8.05,1.25,0.41,2025:02:22 11:14:00,2025:02:22 11:15:00,UTC+0100,2,Eindhoven
4606,11.0,7.8164062,0.46898437,0.39245605,2025:02:22 11:14:00,2025:02:22 11:15:00,UTC+0100,2,Eindhoven
4607,18.0,13.363281,0.80179685,0.66064453,2025:02:22 11:17:00,2025:02:22 11:18:00,UTC+0100,2,Eindhoven
4608,17.0,16.9375,1.01625,0.90405273,2025:02:22 11:18:00,2025:02:22 11:19:00,UTC+0100,2,Eindhoven
4609,10.0,8.113281,0.4867969,0.32373047,2025:02:22 11:24:00,2025:02:22 11:25:00,UTC+0100,2,Eindhoven
4610,38.0,29.636719,1.7782031,1.3763428,2025:02:22 11:25:00,2025:02:22 11:26:00,UTC+0100,2,Eindhoven
4612,16.0,11.83,1.25,0.58,2025:02:22 11:25:00,2025:02:22 11:26:00,UTC+0100,2,Eindhoven
4613,32.0,23.82,1.2777778,1.18,2025:02:22 11:26:00,2025:02:22 11:27:00,UTC+0100,2,Eindhoven
